                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               1          3.0450289652748564E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.6534919673808073E+000                              479          0.0000000000000000E+000          1.5018675915193019E-004          4.8290252888534537E+000          2.8454423709098503E-001          1.3259598977948141E+001          9.5768892515485967E-004          3.3743000150548266E+000         -4.2791794411054749E+000          6.6519019269982360E+000          1.5611026059004729E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          2.8289325163447997E+006         -2.9325357434122918E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.8000083191043052E-005         -4.3187580099290033E+000          3.0818566912966499E+000          4.8000090374683290E-005         -4.3187579449329681E+000         -7.9983351860715746E-001          1.5855008580347235E-001          1.1034768871750069E+010          3.0187821831489252E+000          1.0441963797004328E+003          4.8290453879477555E+000         -5.2738024409740607E+000          1.3259659971325030E+001          5.6328918433189381E+000          4.5940230745115329E+000          8.3900790989398910E-001          8.7000425680503624E-001          2.1892403056426421E-001          9.9742702678826660E+000          7.4000000000000021E-001          2.3997445916978460E-001          3.4416106108120384E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630676E-004         -2.9325357434122918E+001         -9.8999999999999986E+001          1.2828169981408926E+043                                0                                0          3.2833333333333334E-003 
                               1          3.0135086895824573E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.1306132221004699E+000                              479          0.0000000000000000E+000          1.5018675915193019E-004          4.8347145052449161E+000          2.7440929572899331E-001          1.3248380172059290E+001          9.5768892515485967E-004          3.3784153601920570E+000         -4.3289754624403152E+000          6.6064047270662654E+000          1.5877189032788375E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4560705851094186E+005         -2.9342808880445418E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5613783955100125E-006         -5.4483818802006727E+000          3.2733954060185821E+000          2.9630616804649781E-004         -3.5282593079506714E+000         -7.8766162955987329E-001          1.6305659553831642E-001          1.1348412936275745E+010          2.9944384050543569E+000          9.8727560288394761E+002          4.8347246198740148E+000         -5.2738024693046581E+000          1.3248442761078300E+001          5.4510277414321884E+000          4.4992244452718353E+000          8.4326936542987774E-001          8.7000425680503624E-001          1.6493860476833044E-002          1.0032093274269201E+001          7.4000000000000021E-001          2.3997445916978460E-001          3.4416106108120384E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630676E-004         -2.9342808880445418E+001         -9.8999999999999986E+001          1.2978532780901946E+043                                2                                1          1.9716666666666667E-002 
                               2          3.0243156412484227E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0337032090924128E+000                              504          0.0000000000000000E+000          1.5018675915193092E-004          4.8346198498332811E+000          2.7458251738093142E-001          1.3248571175558721E+001          9.5768837089115530E-004          3.3931935062194252E+000         -4.2684659677659686E+000          6.6821864238892426E+000          1.5851795592990553E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2723469038193265E+005         -2.9342511857602364E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.3175430191050095E-006         -5.4791834368617813E+000          3.2778562301796921E+000          3.0894333181583907E-004         -3.5101211740918630E+000         -7.8751421095268825E-001          1.6311195349789037E-001          1.1352265739546175E+010          2.9941435678399868E+000          9.8660558100748540E+002          4.8346292187712114E+000         -5.2738024688146421E+000          1.3248633737065335E+001          5.4540563845634447E+000          4.5008106231847247E+000          8.4319950282573652E-001          8.7000425680503590E-001          1.5273147245721262E-002          1.0031107694319839E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120376E-003          9.3604466091399777E-003          5.9756362104689627E-004          1.9378379294630665E-004         -2.9342511857602364E+001         -9.8999999999999986E+001          1.2976023610549381E+043                                2                                1          2.4183333333333334E-002 
                               3          3.0343910288553354E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032617627342661E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8345307265505237E+000          2.7474558344977745E-001          1.3248751369307131E+001          9.5768816754213928E-004          3.3982193736262354E+000         -4.2482818312766133E+000          6.7076073397257030E+000          1.5840489285091311E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3156652190351964E+005         -2.9342231906987152E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.3526185855412086E-006         -5.4746158517655958E+000          3.2768905258032595E+000          3.0596404535432185E-004         -3.5143296056153326E+000         -7.8768701796155849E-001          1.6304706369870717E-001          1.1347749539302622E+010          2.9944891818577273E+000          9.8739103983272673E+002          4.8345401492363198E+000         -5.2738024683550933E+000          1.3248813904869461E+001          5.4568925166130056E+000          4.5022964455673407E+000          8.4313385426998111E-001          8.7000425680503624E-001          1.5356973800476053E-002          1.0030200744011985E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9342231906987152E+001         -9.8999999999999986E+001          1.2973662473759387E+043                                2                                1          2.5833333333333333E-002 
                               4          3.0444664164622482E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032617627342661E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8344401222811255E+000          2.7491055731448888E-001          1.3248934141144833E+001          9.5768816754213928E-004          3.3981511449813042E+000         -4.2476251539613488E+000          6.7081907565381460E+000          1.5836161808074223E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3732259091579705E+005         -2.9341947777822149E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4049485690061987E-006         -5.4678894436235881E+000          3.2755989542491770E+000          3.0207319500793361E-004         -3.5198878108956380E+000         -7.8788297749354663E-001          1.6297351125806464E-001          1.1342630436538782E+010          2.9948811009217038E+000          9.8828249033507393E+002          4.8344496812523508E+000         -5.2738024678871431E+000          1.3248996650402690E+001          5.4597852206230151E+000          4.5038067133590403E+000          8.4306688755750603E-001          8.7000425680503624E-001          1.5583377364039358E-002          1.0029253991068883E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9341947777822149E+001         -9.8999999999999986E+001          1.2971261018272828E+043                                2                                1          2.7433333333333330E-002 
                               5          3.0545418040691609E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0032617627342661E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8343484111684658E+000          2.7507806114431421E-001          1.3249118952807041E+001          9.5768816754213928E-004          3.3980781669593259E+000         -4.2469779591940000E+000          6.7087594195549798E+000          1.5831799162148227E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4200276047269971E+005         -2.9341660510820546E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4440164542666415E-006         -5.4629347823112582E+000          3.2745799708874448E+000          2.9900021350626156E-004         -3.5243285015599910E+000         -7.8806535610225859E-001          1.6290508616079843E-001          1.1337868186619249E+010          2.9952458581391275E+000          9.8911288217918059E+002          4.8343580772834240E+000         -5.2738024674143364E+000          1.3249181435478093E+001          5.4627085280418379E+000          4.5053352079453459E+000          8.4299927890300685E-001          8.7000425680503624E-001          1.5771617244288001E-002          1.0028316317408832E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9341660510820546E+001         -9.8999999999999986E+001          1.2968831835273293E+043                                2                                1          2.9050000000000003E-002 
                               6          3.0666322691974565E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.0824430087818913E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8342372405121576E+000          2.7528076794960943E-001          1.3249342975436566E+001          9.5768816754213928E-004          3.3979853064201904E+000         -4.2462110759926430E+000          6.7094270555835189E+000          1.5826518572467196E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4656845361176145E+005         -2.9341312321261597E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.4789375807710255E-006         -5.4585533633104433E+000          3.2736182234214186E+000          2.9608322051105103E-004         -3.5285862040458418E+000         -7.8827071241313085E-001          1.6282807463777510E-001          1.1332508338639872E+010          2.9956565707608718E+000          9.9004872942989311E+002          4.8342469977050211E+000         -5.2738024668433363E+000          1.3249405425895118E+001          5.4662567520141589E+000          4.5071888320610283E+000          8.4291713565587945E-001          8.7000425680503624E-001          1.5929786968755324E-002          1.0027201246424164E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9341312321261597E+001         -9.8999999999999986E+001          1.2965886405074290E+043                                2                                1          3.0683333333333333E-002 
                               7          3.0811408273514109E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.1616242548295155E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8341021079584934E+000          2.7552654641759527E-001          1.3249614757175545E+001          9.5768837089115530E-004          3.3927687654851608E+000         -4.2648144226646671E+000          6.6853870530877666E+000          1.5827130762453107E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.5197467481013428E+005         -2.9340889825935058E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5201380188656431E-006         -5.4534403082103227E+000          3.2724971887025727E+000          2.9270830355021055E-004         -3.5335649573240282E+000         -7.8851801961453305E-001          1.6273537925728915E-001          1.1326056925548811E+010          2.9961511851636762E+000          9.9117693008787410E+002          4.8341119730801223E+000         -5.2738024661479237E+000          1.3249677168576552E+001          5.4705583453178379E+000          4.5094388611550915E+000          8.4281763970851864E-001          8.7000425680503624E-001          1.6124137376218983E-002          1.0025826322322574E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9340889825935058E+001         -9.8999999999999986E+001          1.2962308110313829E+043                                2                                1          3.2266666666666666E-002 
                               8          3.0985510971361557E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.2408055008771406E+000                              502          0.0000000000000000E+000          1.5018675915193092E-004          4.8339372317156233E+000          2.7582603309265508E-001          1.3249946064292237E+001          9.5768837089115530E-004          3.3926334536336271E+000         -4.2636541969974662E+000          6.6864036489933261E+000          1.5819313528853238E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.5927223051202117E+005         -2.9340374865959308E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.5769351459371406E-006         -5.4464889340520273E+000          3.2709920691276251E+000          2.8826427692902462E-004         -3.5402091741010957E+000         -7.8882988885317196E-001          1.6261856004221134E-001          1.1317926541817825E+010          2.9967749236409542E+000          9.9260149195901477E+002          4.8339472445051719E+000         -5.2738024653028157E+000          1.3250008428114379E+001          5.4758268213272068E+000          4.5121887835790941E+000          8.4269549757242146E-001          8.7000425680503624E-001          1.6354444031025935E-002          1.0024131807775914E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          5.9756362104689627E-004          1.9378379294630668E-004         -2.9340374865959308E+001         -9.8999999999999986E+001          1.2957941470420354E+043                                2                                1          3.3866666666666670E-002 
