                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.8144573300680158E-037      5.0271465915946114E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                              10          3.6785671731205783E+006                                1          2.9720524154604870E+000          8.6995408286688658E+000          1.7296113432019747E-001          1.3560765755172350E+000          4.1483853229312329E-001          6.8376696878328627E+000         -5.8306396138248839E-001         -8.0167562379764046E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4800862722971186E+002          1.4174665633797640E-001          9.2580931812936402E+000          4.9232284364060952E+001          3.3274859133051891E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3274859133051891E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              11          3.7939891324599674E+006                                1          2.9689016828275325E+000          8.6933913695071166E+000          1.7204879857102201E-001          1.3250558439594380E+000          4.1454529467710460E-001          6.8328363326782675E+000         -5.8496984339182201E-001         -8.0607528419460095E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4806096653374749E+002          1.4179678126299575E-001          9.2326972052975087E+000          4.9232130814546615E+001          3.3219271749155524E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3219271749155524E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              12          3.9324954836672349E+006                                1          2.9655220711825909E+000          8.6867927758675290E+000          1.7098559781752132E-001          1.2919613504026173E+000          4.1423064003560611E-001          6.8276499665699486E+000         -5.8722126928412666E-001         -8.1077510465117353E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4811719031584471E+002          1.4185062632100434E-001          9.2050565054314344E+000          4.9231965929472921E+001          3.3170864181715729E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3170864181715729E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              13          4.0987031051159548E+006                                1          2.9619348078345773E+000          8.6797860052811977E+000          1.6970069890474004E-001          1.2571272000505056E+000          4.1389652143286682E-001          6.8221427813297959E+000         -5.8999244952034435E-001         -8.1572839497131411E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4817696217025517E+002          1.4190786933895794E-001          9.1742077377572375E+000          4.9231790707743578E+001          3.3117919502159246E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3117919502159246E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              14          4.2981522508544186E+006                                1          2.9581648535764131E+000          8.6724193471604476E+000          1.6814616995029141E-001          1.2209498925778219E+000          4.1354524155466377E-001          6.8163527314955701E+000         -5.9340320464534879E-001         -8.2087929708562279E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4823988217401126E+002          1.4196812731388908E-001          9.1404163484720726E+000          4.9231606333532973E+001          3.3060670670102077E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3060670670102077E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              15          4.5208714806694072E+006                                1          2.9545113972578272E+000          8.6652773447551965E+000          1.6638823020084154E-001          1.1860170551858957E+000          4.1320467440821584E-001          6.8107392566790743E+000         -5.9732248808864585E-001         -8.2586074572994306E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4830095993811975E+002          1.4202662099092009E-001          9.1075816348324405E+000          4.9231427432467576E+001          3.2999476249700898E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2999476249700898E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              16          4.7360920460233148E+006                                1          2.9514451086995974E+000          8.6592809017487991E+000          1.6466284996216859E-001          1.1564166340752229E+000          4.1291873338388546E-001          6.8060261692429478E+000         -6.0122213731319485E-001         -8.3008930537158743E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4835229932553165E+002          1.4207578830393611E-001          9.0789320126390134E+000          4.9231277112778287E+001          3.2938588529133796E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2938588529133796E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              17          4.9943567244480047E+006                                1          2.9481912021396179E+000          8.6529152808944829E+000          1.6271572167371237E-001          1.1256296358714020E+000          4.1261518807450115E-001          6.8010229152072457E+000         -6.0564776485073857E-001         -8.3449112730461950E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4840685786691063E+002          1.4212803857447709E-001          9.0473320327874518E+000          4.9231117424538482E+001          3.2885509343800891E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2885509343800891E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              18          5.3042743385576326E+006                                1          2.9447668328309500E+000          8.6462136539080827E+000          1.6053171732401389E-001          1.0938951291381958E+000          4.1229562027687078E-001          6.7957555668946705E+000         -6.1063928543259494E-001         -8.3903259639486238E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4846436134747071E+002          1.4218310918927671E-001          9.0152150440577579E+000          4.9230949180242682E+001          3.2828831546646214E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2828831546646214E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                              19          5.6761754754891852E+006                                1          2.9411913269132737E+000          8.6392134737583532E+000          1.5817188143549218E-001          1.0615711677606230E+000          4.1196181593980369E-001          6.7902535616093518E+000         -6.1605208221869667E-001         -8.4366251449540552E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4852449800443068E+002          1.4224070157565963E-001          8.9819787931135533E+000          4.9230773301466009E+001          3.2768751326837275E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2768751326837275E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
