                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49 
                    model_number                         star_age                        star_mass                           log_dt                        num_zones                      cz_top_logT                      cz_top_logP                    cz_top_radius          cz_top_log_radial_depth                cz_top_luminosity                   cz_top_log_tau                    cz_top_csound              cz_top_scale_height                      cz_top_grav                        tau10_lgP                        tau10_lgT                      tau10_lgRho                          tau10_L                       tau100_lgP                       tau100_lgT                     tau100_lgRho                         tau100_L                          extra_L                eps_grav_integral                      effective_T                    photosphere_L                    photosphere_r                       luminosity                           radius                        radius_cm                          gravity                 log_surf_opacity                log_surf_pressure                 log_surf_density             log_surf_temperature            surface_optical_depth                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                  center_eps_grav                   center_entropy                        e_thermal          max_conv_vel_div_csound                      num_retries                      num_backups                   version_number 
                             120          1.7462573716065621E+004          9.5726075215350846E-005          3.4277573361047247E+000                              431          2.5714715724324497E+000          5.4598846623407056E+000          6.7619061793583707E-002          7.2789625832513831E+000          3.6368665621872613E-008          3.4135242640537844E-001          1.3815934737973512E+005          2.3218109265514035E+007          5.7382720866572447E+002          5.7833668270462057E+000          2.6682528235931779E+000         -4.4404635193552684E+000          3.6368659099844042E-008          6.2275882772889988E+000          2.8009194286138999E+000         -4.1290208535548087E+000          3.6368631004616751E-008          0.0000000000000000E+000          3.6368290387832033E-008          3.0612680636502586E+002          3.6368668412408635E-008          6.7892189541379447E-002          3.6368668412408635E-008          6.7892189541379447E-002          4.7251606077009268E+009          5.6921977135804764E+002         -2.4782037735370266E+000          5.0573924910421519E+000         -4.9839905589139155E+000          2.4859013607854394E+000          6.6666666666666663E-001          4.2066057220483870E+000         -6.5632492180472450E+000          1.2187867491196673E+001          5.4755568623542787E+000          1.3670834950936390E+001          1.9212280058860773E+000          4.9723979125142865E-004          8.2505779496232794E+000          7.6536989522685552E+040          7.2936661404909573E-003                                0                                0                             6794 
                             122          2.4531627126118034E+004          9.5726075215350846E-005          3.5861198281999744E+000                              431          2.5712911178805569E+000          5.4602693199704442E+000          6.7598094817792082E-002          7.2787323087567604E+000          3.6262694546571177E-008          3.4170558390701367E-001          1.3813083803487886E+005          2.3194039848559320E+007          5.7418323311063546E+002          5.7838197131589242E+000          2.6680934889102494E+000         -4.4398511852686164E+000          3.6262688376714778E-008          6.2279916868799479E+000          2.8007460840423262E+000         -4.1284445871877891E+000          3.6262661806213483E-008          0.0000000000000000E+000          3.6261498118808848E-008          3.0595113677873559E+002          3.6262697187199441E-008          6.7871077784372486E-002          3.6262697187199441E-008          6.7871077784372486E-002          4.7236912716367559E+009          5.6957394574009720E+002         -2.4780819416431696E+000          5.0575407975980289E+000         -4.9835933646159862E+000          2.4856520711813510E+000          6.6666666666666663E-001          4.2066132963332104E+000         -6.5632492180289246E+000          1.2187947927058513E+001          5.4768020558357247E+000          1.3671080871519075E+001          1.9211406010389318E+000          3.7071528350760214E-004          8.2504818774547211E+000          7.6505192493630360E+040          7.2853343352333611E-003                                0                                0                             6794 
                             124          3.4711064036593503E+004          9.5726075215350846E-005          3.7444823202952238E+000                              431          2.5710405183366585E+000          5.4608055252777143E+000          6.7568882330338684E-002          7.2784119423512514E+000          3.6115726091664274E-008          3.4219911498145711E-001          1.3809132853354531E+005          2.3160579865137968E+007          5.7467982105979513E+002          5.7844493895857374E+000          2.6678718383552917E+000         -4.4389998301626488E+000          3.6115720181793137E-008          6.2285537095651788E+000          2.8005052972128581E+000         -4.1276425512718777E+000          3.6115694741526602E-008          0.0000000000000000E+000          3.6113241248347937E-008          3.0570691867522424E+002          3.6115728622018774E-008          6.7841663999580526E-002          3.6115728622018774E-008          6.7841663999580526E-002          4.7216441310428057E+009          5.7006794769419673E+002         -2.4779107571034644E+000          5.0577461213936177E+000         -4.9830400344406502E+000          2.4853052676710359E+000          6.6666666666666663E-001          4.2066292342507028E+000         -6.5632492180032864E+000          1.2188063468985451E+001          5.4786410975456246E+000          1.3671256729534123E+001          1.9210005295276633E+000          2.8368195120286375E-004          8.2503951695455893E+000          7.6459097210819331E+040          7.2738230523418388E-003                                0                                0                             6794 
                             126          4.9369453187678198E+004          9.5726075215350846E-005          3.9028448123904735E+000                              431          2.5706940504988491E+000          5.4615511547730389E+000          6.7528340587734298E-002          7.2779668136278479E+000          3.5912960641607293E-008          3.4288764425884222E-001          1.3803664621638577E+005          2.3114277812239688E+007          5.7537006503755288E+002          5.7853211195447365E+000          2.6675644622873995E+000         -4.4378209937753876E+000          3.5912954843657181E-008          6.2293339901978575E+000          2.8001720772284409E+000         -4.1265291757292042E+000          3.5912929899154821E-008          0.0000000000000000E+000          3.5908957346487202E-008          3.0536881366006975E+002          3.5912963125621647E-008          6.7800842813519058E-002          3.5912963125621647E-008          6.7800842813519058E-002          4.7188030581352997E+009          5.7075460155252313E+002         -2.4776771068960697E+000          5.0580352694386521E+000         -4.9822712812369412E+000          2.4848246818791297E+000          6.6666666666666663E-001          4.2066583676042004E+000         -6.5632492179670887E+000          1.2188229226717045E+001          5.4813497066497803E+000          1.3671302989596407E+001          1.9207842850685106E+000          2.0005809065162800E-004          8.2503168027456653E+000          7.6390993862777086E+040          7.2581442475094888E-003                                0                                0                             6794 
                             128          7.0477533565240141E+004          9.5726075215350846E-005          4.0612073044857233E+000                              431          2.5702241945969533E+000          5.4625702295096339E+000          6.7473079909187064E-002          7.2773588091474775E+000          3.5638735153104915E-008          3.4383203506846921E-001          1.3796270628043314E+005          2.3051439516804967E+007          5.7631291099916143E+002          5.7865056731787883E+000          2.6671459721055748E+000         -4.4362184170170149E+000          3.5638729766565329E-008          6.2303982527440613E+000          2.7997196428240212E+000         -4.1250130740102104E+000          3.5638706608982753E-008          0.0000000000000000E+000          3.5628547559367977E-008          3.0490934027039526E+002          3.5638737463343173E-008          6.7745200903667077E-002          3.5638737463343173E-008          6.7745200903667077E-002          4.7149304924934216E+009          5.7169255487426278E+002         -2.4773602486046142E+000          5.0584315260444281E+000         -4.9812194349419094E+000          2.4841707282871948E+000          6.6666666666666663E-001          4.2067065212001964E+000         -6.5632492179154367E+000          1.2188466444313114E+001          5.4852826571464544E+000          1.3671147114926303E+001          1.9204586249589914E+000          1.4545946684943470E-004          8.2501986245011860E+000          7.6288109815165837E+040          7.2361470537651443E-003                                0                                0                             6794 
                             130          1.0087316930892935E+005          9.5726075215350846E-005          4.2195697965809726E+000                              431          2.5695433874291460E+000          5.4640435917464218E+000          6.7393463318427244E-002          7.2764724669413745E+000          3.5245225706100652E-008          3.4520468601066728E-001          1.3785533673609392E+005          2.2960895964905336E+007          5.7767539246091940E+002          5.7882146461639747E+000          2.6665383517942329E+000         -4.4339022374209547E+000          3.5245220120924898E-008          6.2319378196624502E+000          2.7990642533165531E+000         -4.1228191507845624E+000          3.5245196134215625E-008          0.0000000000000000E+000          3.5243839504795392E-008          3.0424423789639366E+002          3.5245228104521697E-008          6.7665029513392497E-002          3.5245228104521697E-008          6.7665029513392497E-002          4.7093507240730906E+009          5.7304807158926872E+002         -2.4769122600947306E+000          5.0590120564684495E+000         -4.9796924133870988E+000          2.4832223618454146E+000          6.6666666666666663E-001          4.2067792938917279E+000         -6.5632492178424364E+000          1.2188804030667853E+001          5.4909428477287294E+000          1.3670789190912924E+001          1.9199829852581014E+000          1.2790503239677918E-004          8.2500854047216343E+000          7.6140995591006190E+040          7.2063990953378024E-003                                0                                0                             6794 
                             132          1.4464288477984178E+005          9.5726075215350846E-005          4.3779322886762220E+000                              431          2.5685557160536781E+000          5.4661779991590356E+000          6.7278744462964030E-002          7.2751735175216927E+000          3.4681925952618825E-008          3.4720807257091368E-001          1.3770003369973530E+005          2.2830637953207843E+007          5.7964709273600613E+002          5.7906806466216061E+000          2.6656537974018466E+000         -4.4305525951880611E+000          3.4681920429317273E-008          6.2341682072458191E+000          2.7981133438586547E+000         -4.1196389864654330E+000          3.4681896742514897E-008          0.0000000000000000E+000          3.4681922331616358E-008          3.0328027076136965E+002          3.4681928328916515E-008          6.7549499632776691E-002          3.4681928328916515E-008          6.7549499632776691E-002          4.7013100754419918E+009          5.7500991557462839E+002         -2.4762804508604748E+000          5.0598645256516868E+000         -4.9774621218449244E+000          2.4818441591462737E+000          6.6666666666666663E-001          4.2058204540455835E+000         -6.5632492176611832E+000          1.2189282033725318E+001          5.4873656845092773E+000          1.3705816677354109E+001          1.9220527654886241E+000          7.4494036050102245E-003          8.2448181938959699E+000          7.5936570473193082E+040          7.1621120612306837E-003                                0                                0                             6794 
                             134          2.0767127505795570E+005          9.5726075215350846E-005          4.5362947807714722E+000                              431          2.5671589621429529E+000          5.4692045950132764E+000          6.7117369741549290E-002          7.2733071747454376E+000          3.3898966013823691E-008          3.5007706787077281E-001          1.3748049514748165E+005          2.2648015398541860E+007          5.8243781117845663E+002          5.7941492755951627E+000          2.6643948328635578E+000         -4.4258260648581800E+000          3.3898960619320155E-008          6.2373271857742241E+000          2.7967673940673667E+000         -4.1151363691202487E+000          3.3898937528555059E-008          0.0000000000000000E+000          3.3898967695501139E-008          3.0191736589417320E+002          3.3898968341510040E-008          6.7386963861103585E-002          3.3898968341510040E-008          6.7386963861103585E-002          4.6899979108050871E+009          5.7778708155040204E+002         -2.4754238129062847E+000          5.0611003813358426E+000         -4.9742698166013026E+000          2.4798880937952337E+000          6.6666666666666663E-001          4.2044408719483100E+000         -6.5632492174046240E+000          1.2189954909516119E+001          5.4820147824287417E+000          1.3756266226655217E+001          1.9250346428155889E+000          4.7936698419798968E-003          8.2372416333909921E+000          7.5649563231545676E+040          7.0991999550420017E-003                                0                                0                             6794 
                             136          2.9843215705843968E+005          9.5726075215350846E-005          4.6946572728667215E+000                              431          2.5652039183069051E+000          5.4734586959698541E+000          6.6893095050011314E-002          7.2706345212157579E+000          3.2829382518031882E-008          3.5416160469654068E-001          1.3717420723783210E+005          2.2395574743096512E+007          5.8634987527117698E+002          5.7989671532988316E+000          2.6626162245995455E+000         -4.4192312738111275E+000          3.2829377304613853E-008          6.2417584207313794E+000          2.7948806623299340E+000         -4.1088212274045599E+000          3.2829355041747309E-008          0.0000000000000000E+000          3.2829383854227720E-008          3.0001047151483039E+002          3.2829384777142471E-008          6.7161035178631395E-002          3.2829384777142471E-008          6.7161035178631395E-002          4.6742737263623877E+009          5.8168095360807888E+002         -2.4742994308879882E+000          5.0628930154896965E+000         -4.9697248659689972E+000          2.4771364135254639E+000          6.6666666666666663E-001          4.2025050498760583E+000         -6.5632492170465282E+000          1.2190893182489738E+001          5.4744628190994256E+000          1.3827336982955936E+001          1.9292113339900963E+000          4.6358578922827869E-003          8.2265135713082014E+000          7.5249410338886910E+040          7.0124279534026102E-003                                0                                0                             6794 
                             138          4.2912782713913667E+005          9.5726075215350846E-005          4.8530197649619708E+000                              431          2.5624953027271475E+000          5.4793711954433517E+000          6.6585730247152863E-002          7.2668336713439654E+000          3.1398620190921696E-008          3.5992957155971012E-001          1.3675158151803410E+005          2.2051952279117230E+007          5.9177564068429706E+002          5.8055588435080612E+000          2.6601215518465882E+000         -4.4101477925308581E+000          3.1398615221295929E-008          6.2479087849526538E+000          2.7922638238463442E+000         -4.1000587508741111E+000          3.1398594057597491E-008          0.0000000000000000E+000          3.1398619856731385E-008          2.9737333419524180E+002          3.1398622356274181E-008          6.6851335654033492E-002          3.1398622356274181E-008          6.6851335654033492E-002          4.6527192588494234E+009          5.8708289782859208E+002         -2.4728689194144420E+000          5.0654770896288968E+000         -4.9633082914880724E+000          2.4733020222522470E+000          6.6666666666666663E-001          4.1997951713519752E+000         -6.5632492165516334E+000          1.2192184928592917E+001          5.4635229301452632E+000          1.3927309057065177E+001          1.9350782907009116E+000          4.4290291858507230E-003          8.2113618060777842E+000          7.4698226778074375E+040          6.8938129983411043E-003                                0                                0                             6794 
