                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               9          3.1194437854174096E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.3199884111832700E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8116495833937316E+000          2.4376183948505198E-001          1.3185810377324909E+001          9.5768766416929739E-004          3.3911296770490327E+000         -4.2656794530326367E+000          6.6828100770948451E+000          1.6590795541880329E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.0229957639645523E+005         -2.9352811249628040E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.6412768055639840E-006         -5.4387463052573279E+000          3.2693286660253884E+000          3.1327088181682322E-004         -3.5040799704357801E+000         -7.6743848081603960E-001          1.7082896875470413E-001          1.1889354567389898E+010          2.9539921075666897E+000          8.9948123510965911E+002          4.8116618363015284E+000         -5.0207938540217780E+000          1.3185872394055696E+001          5.4637686038017259E+000          4.6342997796645742E+000          8.4963960558175988E-001          8.7000425680503624E-001          1.5318245194807187E-002          1.0017368268115806E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9352811249628040E+001         -9.8999999999999986E+001          1.3306172674384233E+043                                2                                1          3.4366666666666663E-002 
                              10          3.1445146699813157E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.3991696572308943E+000                              505          0.0000000000000000E+000          9.0113718319771174E-005          4.8114448003991095E+000          2.4422616813581458E-001          1.3186366104578514E+001          9.5768766416929739E-004          3.3909405499142764E+000         -4.2639365197223711E+000          6.6843522582596799E+000          1.6578234100379102E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.1143748698376189E+005         -2.9352021001984781E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.7203975216568666E-006         -5.4294106536024085E+000          3.2672466815149779E+000          3.0664874710741366E-004         -3.5133588053950375E+000         -7.6791392927484803E-001          1.7064205427365872E-001          1.1876345693338100E+010          2.9549430044843064E+000          9.0145282585581992E+002          4.8114571726034727E+000         -5.0207938514985884E+000          1.3186428042030334E+001          5.4715065813064561E+000          4.6381361486024959E+000          8.4939769357442818E-001          8.7000425680503624E-001          1.5668912227638457E-002          1.0014872968609078E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9352021001984781E+001         -9.8999999999999986E+001          1.3299870527627234E+043                                2                                1          3.6116666666666665E-002 
                              11          3.1745997314580027E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.4783509032785194E+000                              505          0.0000000000000000E+000          9.0110578848580941E-005          4.8112001511725042E+000          2.4480470994999753E-001          1.3187066666861272E+001          9.5768766416929739E-004          3.3907005709654894E+000         -4.2618323384052257E+000          6.6862021192767109E+000          1.6562891531107021E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.2097060156395898E+005         -2.9351053630434816E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.7985394494125402E-006         -5.4203833589073946E+000          3.2651744445150257E+000          3.0008637159322274E-004         -3.5227537275883365E+000         -7.6846691637159270E-001          1.7042491404395002E-001          1.1861233167630833E+010          2.9560489786777957E+000          9.0375139086399872E+002          4.8112059503948510E+000         -5.0207938484172008E+000          1.3187108286395544E+001          5.4810040259361248E+000          4.6428425743214108E+000          8.4910072505474044E-001          8.7000425680503624E-001          1.5991754058067627E-002          1.0011847596440539E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9351053630434816E+001         -9.8999999999999986E+001          1.3292138935677897E+043                                2                                1          3.7966666666666669E-002 
                              12          3.2107018052300275E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.5575321493261445E+000                              505          0.0000000000000000E+000          9.0110578848580941E-005          4.8108892412180042E+000          2.4550453322068094E-001          1.3187905193928017E+001          9.5768789345683698E-004          3.3852399690043260E+000         -4.2784756989580472E+000          6.6639016542483507E+000          1.6551463464425809E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.3369161189696338E+005         -2.9349861017998577E+001         -9.8999999999999986E+001          0.0000000000000000E+000          3.9068496325567565E-006         -5.4081733036478932E+000          3.2624649404772459E+000          2.9175217164001345E-004         -3.5349859026253019E+000         -7.6916399581451556E-001          1.7015158703132932E-001          1.1842210154206459E+010          2.9574431375636414E+000          9.0665724763633875E+002          4.8108951902149659E+000         -5.0207938446229825E+000          1.3187946733200384E+001          5.4927566838264452E+000          4.6486622031597458E+000          8.4873300701379717E-001          8.7000425680503624E-001          1.6449159822159082E-002          1.0008082365936243E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9349861017998577E+001         -9.8999999999999986E+001          1.3282577119629687E+043                                2                                1          3.9783333333333330E-002 
                              13          3.2540242937564566E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.6367133953737687E+000                              505          0.0000000000000000E+000          9.0110578848580941E-005          4.8105048924375735E+000          2.4636589153461411E-001          1.3188937658736650E+001          9.5768789345683698E-004          3.3848664010836229E+000         -4.2752597049470955E+000          6.6667244645829538E+000          1.6528236680251107E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.4735863310228381E+005         -2.9348392572055005E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.0140755055956503E-006         -5.3964144626021122E+000          3.2597098332186785E+000          2.8337231676104534E-004         -3.5476425791596959E+000         -7.6998211956457874E-001          1.6983135726710039E-001          1.1819922803075653E+010          2.9590793850637680E+000          9.1007961166808514E+002          4.8105109857315878E+000         -5.0207938399622440E+000          1.3188979099396374E+001          5.5072847294807419E+000          4.6558550529423979E+000          8.4827788233756951E-001          8.7000425680503624E-001          1.6892563287819341E-002          1.0003433103266337E+001          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9348392572055005E+001         -9.8999999999999986E+001          1.3270764982754291E+043                                2                                1          4.1650000000000000E-002 
                              14          3.3060112799881720E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.7158946414213938E+000                              505          0.0000000000000000E+000          9.0110578848580941E-005          4.8100254663056674E+000          2.4743538222337280E-001          1.3190218565885793E+001          9.5768811193250390E-004          3.3791152305759367E+000         -4.2905718640473891E+000          6.6454820058134692E+000          1.6506850583392654E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.6466835225460393E+005         -2.9346570390519329E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.1580287979988263E-006         -5.3811125071236763E+000          3.2563420239553005E+000          2.7344846765205106E-004         -3.5631245059778527E+000         -7.7098746444690081E-001          1.6943867068204996E-001          1.1792592602129313E+010          2.9610900748284119E+000          9.1430285275041308E+002          4.8100317533885955E+000         -5.0207938341908971E+000          1.3190259884528933E+001          5.5254133009910564E+000          4.6648207325417257E+000          8.4770943641662533E-001          8.7000425680503624E-001          1.7489854657835438E-002          9.9976511394485978E+000          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9346570390519329E+001         -9.8999999999999986E+001          1.3256040509172517E+043                                2                                1          4.3450000000000003E-002 
                              15          3.3683956634662300E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.7950758874690189E+000                              503          0.0000000000000000E+000          9.0110578848580941E-005          4.8094231299597299E+000          2.4876998625700611E-001          1.3191817844804747E+001          9.5768811193250390E-004          3.3785037557577073E+000         -4.2856072583801605E+000          6.6498095199579614E+000          1.6471059596180640E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.8536035944405897E+005         -2.9344295495983747E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.3355678206104026E-006         -5.3629540157866948E+000          3.2525231395836651E+000          2.6252429978504437E-004         -3.5808304912137370E+000         -7.7220268832157180E-001          1.6896521749186938E-001          1.1759641206999125E+010          2.9635205225777539E+000          9.1943392161048814E+002          4.8094296537502919E+000         -5.0207938270068029E+000          1.3191859011607926E+001          5.5482056999206515E+000          4.6760791252196698E+000          8.4699391871690699E-001          8.7000425680503624E-001          1.8228023055985594E-002          9.9904035408606120E+000          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9344295495983747E+001         -9.8999999999999986E+001          1.3237551622055913E+043                                2                                1          4.5400000000000003E-002 
                              16          3.4432569236399001E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.8742571335166431E+000                              503          0.0000000000000000E+000          9.0110578848580941E-005          4.8086577056285105E+000          2.5045101612148696E-001          1.3193833643752274E+001          9.5768832010174735E-004          3.3723067029369656E+000         -4.2987161218969216E+000          6.6303394175351507E+000          1.6433362895323811E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.1104897556575725E+005         -2.9341427690950006E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.5670999022519276E-006         -5.3403594883881365E+000          3.2480413498231817E+000          2.5018521643597981E-004         -3.6017383565529340E+000         -7.7369304147020301E-001          1.6838637923588382E-001          1.1719355222059042E+010          2.9665012288750163E+000          9.2576600465469505E+002          4.8086645360443701E+000         -5.0207938179878120E+000          1.3193874619964410E+001          5.5771818423271160E+000          4.6903721715021192E+000          8.4608260095119425E-001          8.7000425680503624E-001          1.9188404749899537E-002          9.9812398214560005E+000          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9341427690950006E+001         -9.8999999999999986E+001          1.3214072370087549E+043                                2                                1          4.7266666666666665E-002 
                              17          3.5330904358483041E+006          9.5769185209712961E-004         -9.8999999999999986E+001          4.9534383795642682E+000                              503          0.0000000000000000E+000          9.0110578848580941E-005          4.8076783195879438E+000          2.5258076695099041E-001          1.3196386874262561E+001          9.5768851844656036E-004          3.3657167059286808E+000         -4.3102940354043202E+000          6.6120210118255862E+000          1.6383862793539331E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4112243847498414E+005         -2.9337794831534953E+001         -9.8999999999999986E+001          0.0000000000000000E+000          4.8379212496234071E-006         -5.3153412052449855E+000          3.2431869977746803E+000          2.3726508112488219E-004         -3.6247661732477412E+000         -7.7549824572060388E-001          1.6768791092828012E-001          1.1670743224786440E+010          2.9701116373758181E+000          9.3349422890419112E+002          4.8076855002036973E+000         -5.0207938066152940E+000          1.3196427610336062E+001          5.6142911624908436E+000          4.7086453027561390E+000          8.4491288721561375E-001          8.7000425680503624E-001          2.0315391523856856E-002          9.9695455333946388E+000          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9337794831534953E+001         -9.8999999999999986E+001          1.3184043753373645E+043                                2                                1          4.9083333333333333E-002 
                              18          3.6408906504983888E+006          9.5769185209712961E-004         -9.8999999999999986E+001          5.0326196256118934E+000                              503          0.0000000000000000E+000          9.0110578848580941E-005          4.8064240916361447E+000          2.5527249568126720E-001          1.3199616742811168E+001          9.5768870742657072E-004          3.3571745623907661E+000         -4.3247828798923145E+000          6.5888173415323470E+000          1.6319691967743355E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.7714652126971190E+005         -2.9333198159121768E+001         -9.8999999999999986E+001          0.0000000000000000E+000          5.1218245346802023E-006         -5.2905753038303853E+000          3.2378373381265972E+000          2.2358393106823354E-004         -3.6505594123203515E+000         -7.7769554596074308E-001          1.6684164148615857E-001          1.1611844564153664E+010          2.9745062378560965E+000          9.4298815568488419E+002          4.8064316215293799E+000         -5.0207937923173516E+000          1.3199657177121031E+001          5.6618957710266091E+000          4.7320271502230833E+000          8.4340751767158439E-001          8.7000425680503624E-001          2.1489814433138282E-002          9.9546689175640157E+000          7.4000000000000021E-001          2.3997445916978458E-001          3.4416106108120380E-003          9.3604466091399795E-003          6.4201496084896235E-004          2.0819890947113527E-004         -2.9333198159121768E+001         -9.8999999999999986E+001          1.3145598805056668E+043                                2                                1          5.0950000000000002E-002 
