                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                        6794      4.8144573300680158E-037      5.0271465915946114E-034      0.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      donor_index                      period_days                binary_separation                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                          v_orb_1                          v_orb_2                         lg_F_irr                        log_J_orb                     log_abs_Jdot                  log_abs_jdot_mb                  log_abs_jdot_gr                  log_abs_jdot_ml                log_abs_jdot_tide                  log_abs_jdot_ls               log_abs_extra_jdot 
                               1          3.0069781945886258E+006                                1          2.9999597239009188E+000          8.7539145664101667E+000          1.8213572652204124E-001          1.6512007059410860E+000          4.1743134977672641E-001          6.8804063868943395E+000         -5.6367501717477353E-001         -7.6001407284804279E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4754824358616625E+002          1.4130575067371395E-001          9.4654587179312806E+000          4.9233637350625671E+001          3.2541591517213774E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.2541591517213774E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               1          3.0020934583765878E+006                                1          2.9998516926174430E+000          8.7537044075215888E+000          1.8528886848470044E-001          1.6548961318857021E+000          4.1742132832770940E-001          6.8802412061002780E+000         -5.5611068263566610E-001         -7.5947120423359438E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755001474425714E+002          1.4130744689738636E-001          9.4677388142540941E+000          4.9233632137418454E+001          3.3630590845323425E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3630590845323425E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               2          3.0037682250778582E+006                                1          2.9997316929433686E+000          8.7534709629412379E+000          1.8534131166972101E-001          1.6536130570193288E+000          4.1741019649799666E-001          6.8800577232059181E+000         -5.5597320519550231E-001         -7.5965128149407590E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755198222217368E+002          1.4130933113495622E-001          9.4669872835695745E+000          4.9233626346438982E+001          3.3635531102368240E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3635531102368240E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               3          3.0054429917791281E+006                                1          2.9996121417934840E+000          8.7532383878139797E+000          1.8532976351394626E-001          1.6523388495165356E+000          4.1739910612824732E-001          6.8798749236847572E+000         -5.5598907426264821E-001         -7.5983010333106926E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755394245058133E+002          1.4131120842973049E-001          9.4662315812297848E+000          4.9233620576874166E+001          3.3633916354089685E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3633916354089685E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               4          3.0071177584803980E+006                                1          2.9994930347127231E+000          8.7530066735073593E+000          1.8531590365364994E-001          1.6510727088314074E+000          4.1738805680682173E-001          6.8796928007518536E+000         -5.5601052633995451E-001         -7.6000778571814021E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755589550137097E+002          1.4131307885055844E-001          9.4654823422551164E+000          4.9233614828511541E+001          3.3632311694841519E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3632311694841519E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               5          3.0087925251816683E+006                                1          2.9993743675635338E+000          8.7527758120060408E+000          1.8530197722634378E-001          1.6498127443641111E+000          4.1737704815150822E-001          6.8795113481073162E+000         -5.5603218229891971E-001         -7.6018460310876501E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4755784144124624E+002          1.4131494246132167E-001          9.4647369159815415E+000          4.9233609101153959E+001          3.3630716099253590E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3630716099253590E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               6          3.0108022452231930E+006                                1          2.9992324911555399E+000          8.7524997939591103E+000          1.8528638599248287E-001          1.6483110420444129E+000          4.1736388620150067E-001          6.8792944032972434E+000         -5.5605553782143058E-001         -7.6039533338558996E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4756016810831647E+002          1.4131717069141736E-001          9.4638507527839000E+000          4.9233602253326055E+001          3.3629127103731186E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3629127103731186E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               7          3.0132139092730219E+006                                1          2.9990629866898599E+000          8.7521700203075614E+000          1.8526769304959942E-001          1.6465214910805139E+000          4.1734816090975346E-001          6.8790352076287062E+000         -5.5608360021104453E-001         -7.6064645093623651E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4756294804729026E+002          1.4131983301632189E-001          9.4627953224419379E+000          4.9233594071573492E+001          3.3627231847107858E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3627231847107858E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
                               8          3.0161079061328173E+006                                1          2.9988606457323130E+000          8.7517763546005423E+000          1.8524528722690120E-001          1.6443909940642798E+000          4.1732938891852650E-001          6.8787257940487212E+000         -5.5611732088423349E-001         -7.6094540714401493E-001          9.5769185209712961E-004          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.4756626679177643E+002          1.4132301135087549E-001          9.4615390493373699E+000          4.9233584304242136E+001          3.3624971206628551E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          3.3624971206628551E+001         -9.8999999999999986E+001         -9.8999999999999986E+001 
