                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                         81                         744     8.0000000000000004E-001     2.0000000000000000E-002     1.8374348607122275E+008     2.7845210909936264E+007     6.7238101565645420E+003     8.1145540175833286E-001     6.6475295807811974E-001    -1.7188964885939915E+000     6.9874150631207632E-001     4.5109553693836458E-005     2.8064278707845719E-001     1.5941600548917916E-005     5.0072068479663353E-003     9.3576643740519612E-003     2.0994599496956066E-003     1.0000000000000000E+000     0.0000000000000000E+000     7.0858479982047973E-001     2.3222223894399117E-004     2.7112328727974411E-001     3.0834100521734075E-003     1.4261252243115831E-003     9.3603711511355582E-003     2.0994599496977169E-003     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     9.9999999962279162E-001     6.6453333034352535E-001     9.9999999957213059E-001     6.6451664008957467E-001     5.4265522544281594E+003     4.3516564795573965E+007     1.2323536177504175E+010     8.1147049932535875E-001     8.1147049932535897E-001     9.4204912113314769E-048     1.8251450446750819E-002     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46                          47                          48                          49                          50                          51                          52                          53                          54                          55                          56                          57                          58                          59                          60                          61                          62                          63                          64                          65                          66                          67                          68                          69                          70                          71                          72                          73                          74                          75                          76                          77                          78                          79                          80                          81                          82                          83                          84                          85                          86                          87 
                       zone                        logT                      logRho                        logP                        logR                  luminosity                        logL                    velocity                     entropy            conv_mixing_type                      csound                v_div_csound                     v_div_r                         eta                          mu                       logdq                    dq_ratio                           q                      radius                 temperature                         tau                      logtau                    pressure             pgas_div_ptotal                     logPgas                      energy                       grada                          cv                          cp                      gamma1                      gamma3                         gam                      free_e                      chiRho                        chiT                        abar                          ye                 log_opacity                     eps_nuc                 non_nuc_neu                    logPvisc                    eps_grav           mlt_mixing_length                   log_D_mix                log_conv_vel         conv_vel_div_csound               log_mlt_D_mix       pressure_scale_height                       gradT                       gradr                     dlnd_dt                     dlnT_dt                        mass                        mmid                       logxq                          h1                         he3                         he4                         c12                         n14                         o16                        ne20                        mg24                          pp                         cno                    tri_alfa                      burn_c                      burn_n                      burn_o                     burn_ne                     burn_na                     burn_mg                     burn_si                      burn_s                     burn_ar                     burn_ca                     burn_ti                     burn_cr                     burn_fe                     c12_c12                     c12_o16                     o16_o16                       pnhe4                       photo                       other             gradr_sub_grada                        logQ 
                          1     3.8277979971892369E+000    -6.1028888707970763E+000     5.5335893797686406E+000    -1.7733972142904506E-001     8.1145540175833286E-001    -9.0735344355938441E-002     2.2412801858281445E-008     1.7889472482294511E+001                           0     8.3483060300526593E+005     2.6847125366030779E-014     4.8443901616784150E-019    -1.9375341138839719E+001     1.2881403286755080E+000    -1.2301029995663979E+001     1.0000000000000000E+000     1.0000000000000000E+000     6.6475295807811974E-001     6.7266370833959691E+003     6.6666666666666663E-001    -1.7609125905568127E-001     3.4165625785417936E+005     9.9998488756873705E-001     5.5335828164735412E+000     2.1806739951544607E+012     3.7586931578814975E-001     1.0718609462999998E+008     1.7263652338999999E+008     1.6096018825471399E+000     1.6050062291324136E+000     3.4657509073383902E-001     3.6335357097266174E-004     9.9937297903001276E-001     1.0086580000817773E+000     1.2841559185233693E+000     8.5500478890566545E-001    -9.1564881802661757E-001     3.3140899299670411E-033     0.0000000000000000E+000     0.0000000000000000E+000    -8.8206316840652923E-007     1.3961736906837063E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0030271636280542E-004     1.2521109690740154E-001     1.2521109690740154E-001    -1.0016377083832489E-018     6.1739065623889400E-019     1.0000000000000000E+000     9.9999999999974987E-001    -9.8999999999999986E+001     7.1000000000000008E-001     2.8733433992169382E-005     2.6997126656600789E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003     3.3140899299670411E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.5065821888074824E-001    -1.7584848651755500E+000 
                          2     3.8283910670292958E+000    -6.0987720465956574E+000     5.5383014092527523E+000    -1.7734016131623950E-001     8.1145540173095765E-001    -9.0735344370589777E-002     2.2412800327227895E-008     1.7883804952554993E+001                           0     8.3529379127132508E+005     2.6842501940960274E-014     4.8443947375274434E-019    -1.9360507078170777E+001     1.2881317056715489E+000    -1.1948847477552619E+001     4.4444444444444436E-001     9.9999999999949996E-001     6.6475228476501580E-001     6.7358292120374281E+003     6.7115697471788793E-001    -1.7317589222930099E-001     3.4538335929088783E+005     9.9998496876763898E-001     5.5382948812224200E+000     2.1816176909645793E+012     3.7568956281989813E-001     1.0727203178000000E+008     1.7273034075000000E+008     1.6091815730929375E+000     1.6045591554045677E+000     3.4719746892553022E-001     3.6785253997419210E-004     9.9937048755586155E-001     1.0087152388691902E+000     1.2841559185233693E+000     8.5500478890566545E-001    -9.1317087412941955E-001     3.3456958158323284E-033     0.0000000000000000E+000     0.0000000000000000E+000    -8.8778013341227828E-007     1.3967638986558206E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0044007309513656E-004     1.2564112088451990E-001     1.2564112088451990E-001    -1.0146189874099357E-018     6.1525465267140420E-019     9.9999999999949996E-001     9.9999999999893752E-001    -1.2301029995663979E+001     7.1000000000000008E-001     2.8733433992169246E-005     2.6997126656600784E-001     3.4416106108120228E-003     1.0081585468366041E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003     3.3456958158323284E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.5017288629801393E-001    -1.7555541806542490E+000 
                          3     3.8294862137691155E+000    -6.0913052376931107E+000     5.5468683803244163E+000    -1.7734114172942256E-001     8.1145540166936336E-001    -9.0735344403555296E-002     2.2412795558873594E-008     1.7873640437863436E+001                           0     8.3614680971314840E+005     2.6821814428960252E-014     4.8444046430331629E-019    -1.9332598285675044E+001     1.2881149245798584E+000    -1.1726998727936261E+001     6.0000000000000009E-001     9.9999999999837497E-001     6.6475078409854416E-001     6.7528361747213185E+003     6.8131801138332848E-001    -1.6665012986143118E-001     3.5226409576800041E+005     9.9998511296517512E-001     5.5468619149192149E+000     2.1833752328895928E+012     3.7535049594938746E-001     1.0743436089999999E+008     1.7290762145999998E+008     1.6083903402090072E+000     1.6037158823013302E+000     3.4831352631642581E-001     3.7632260871493155E-004     9.9936578787863239E-001     1.0088227868080137E+000     1.2841559185233693E+000     8.5500478890566545E-001    -9.0868091584322408E-001     3.4037919910592227E-033     0.0000000000000000E+000     0.0000000000000000E+000    -9.0118800525568796E-007     1.3994234470583007E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0069437750761040E-004     1.2756693718488463E-001     1.2756693718488463E-001    -1.0449948281485026E-018     6.1130621838779312E-019     9.9999999999837497E-001     9.9999999999743749E-001    -1.1789146634685105E+001     7.1000000000000008E-001     2.8733433992169388E-005     2.6997126656600789E-001     3.4416106108120410E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137518E-003     3.4037919910592227E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.4799547555857201E-001    -1.7502776652313408E+000 
                          4     3.8310836229798406E+000    -6.0807123913186212E+000     5.5590651849454611E+000    -1.7734274791219243E-001     8.1145540156670615E-001    -9.0735344458497888E-002     2.2412782548213369E-008     1.7859616620302500E+001                           0     8.3738196820969682E+005     2.6787570070429641E-014     4.8444197472849174E-019    -1.9290674569606779E+001     1.2880888310074803E+000    -1.1602059991327961E+001     7.5000000000000033E-001     9.9999999999650002E-001     6.6474832560706942E-001     6.7777199938612148E+003     6.9842916589687354E-001    -1.5587763310031819E-001     3.6229737295571686E+005     9.9998531070216490E-001     5.5590588054176129E+000     2.1859650353809182E+012     3.7483878593891851E-001     1.0768000632999998E+008     1.7317586455999997E+008     1.6071989250183103E+000     1.6024436303973193E+000     3.4986772388075793E-001     3.8907025429481474E-004     9.9935884848237011E-001     1.0089849495887755E+000     1.2841559185233693E+000     8.5500478890566545E-001    -9.0232628584991259E-001     3.4879466609159263E-033     0.0000000000000000E+000     0.0000000000000000E+000    -9.1690808718164883E-007     1.4038687286514226E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0106620707568633E-004     1.3073731717439777E-001     1.3073731717439777E-001    -1.0802559045739292E-018     6.0554601638315953E-019     9.9999999999650002E-001     9.9999999999524991E-001    -1.1455931955649723E+001     7.1000000000000008E-001     2.8733433992169385E-005     2.6997126656600789E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976488E-003     4.0903242835137509E-003     3.4879466609159263E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.4439387448478875E-001    -1.7428796372783033E+000 
                          5     3.8338187623547992E+000    -6.0633161145168648E+000     5.5792121240914634E+000    -1.7734483791272854E-001     8.1145540142982975E-001    -9.0735344531754747E-002     2.2412757765717591E-008     1.7837401691035872E+001                           0     8.3947902892910549E+005     2.6742146484085791E-014     4.8444377039982362E-019    -1.9215495107173915E+001     1.2880398344993589E+000    -1.1301029995663979E+001     4.9999999999999983E-001     9.9999999999400002E-001     6.6474512657721341E-001     6.8205400330822495E+003     7.2158051883544361E-001    -1.4171520035036578E-001     3.7950030047562992E+005     9.9998561881560333E-001     5.5792058783775262E+000     2.1904198582364053E+012     3.7391706407070158E-001     1.0812422222999999E+008     1.7366103374999997E+008     1.6050607118010518E+000     1.6001573355495928E+000     3.5234450205595208E-001     4.1202251526867772E-004     9.9934660725295532E-001     1.0092773485183715E+000     1.2841559185233693E+000     8.5500478890566545E-001    -8.9192342759282839E-001     3.6306922470717844E-033     0.0000000000000000E+000     0.0000000000000000E+000    -9.4080254881407689E-007     1.4098471754043121E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0170737595166881E-004     1.3488372220279776E-001     1.3488372220279776E-001    -1.1330477532245318E-018     5.9571056381207577E-019     9.9999999999400013E-001     9.9999999999150002E-001    -1.1221848749616356E+001     7.1000000000000008E-001     2.8733433992169385E-005     2.6997126656600789E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003     3.6306922470717844E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.3964782311338173E-001    -1.7309536392264633E+000 
                          6     3.8367798602580407E+000    -6.0454727918084412E+000     5.6000321785038594E+000    -1.7734885387177465E-001     8.1145540115607695E-001    -9.0735344678268437E-002     2.2412687556006574E-008     1.7815385610778993E+001                           0     8.4171863760824304E+005     2.6653630388693429E-014     4.8444673254252588E-019    -1.9129023246765133E+001     1.2879822532832619E+000    -1.1505149978319904E+001     1.6000000000000008E+000     9.9999999998900002E-001     6.6473897964932749E-001     6.8672025980931012E+003     7.6900639201486010E-001    -1.1407005030878382E-001     3.9813666889680631E+005     9.9998591298451234E-001     5.6000260605476750E+000     2.1953212829604080E+012     3.7285849198698995E-001     1.0863755414999999E+008     1.7422183155999997E+008     1.6026139429211614E+000     1.5975435803830620E+000     3.5477595317108113E-001     4.3862542551002608E-004     9.9933268547058085E-001     1.0096167254447934E+000     1.2841559185233693E+000     8.5500478890566545E-001    -8.8128948212795555E-001     3.7831814922908049E-033     0.0000000000000000E+000     0.0000000000000000E+000    -9.6668267137048557E-007     1.4217859030842545E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0240499706393215E-004     1.4292698196053183E-001     1.4292698196053183E-001    -1.1892717057958246E-018     5.8510799812166673E-019     9.9999999998899991E-001     9.9999999998743749E-001    -1.0958607314841775E+001     7.1000000000000008E-001     2.8733433992169395E-005     2.6997126656600789E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003     3.7831814922908049E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.3033865313557800E-001    -1.7190325123245227E+000 
                          7     3.8390499776597857E+000    -6.0323928659322368E+000     5.6153941071631852E+000    -1.7735126286515732E-001     8.1145540098498148E-001    -9.0735344769839479E-002     2.2412631010140111E-008     1.7799371723171866E+001                           0     8.4341700041648198E+005     2.6599827106371088E-014     4.8444819749666463E-019    -1.9059001116752626E+001     1.2879373297095293E+000    -1.1505149978319904E+001     1.0000000000000000E+000     9.9999999998587508E-001     6.6473529241076323E-001     6.9031923969884783E+003     7.9938275147502902E-001    -9.7245226879056804E-002     4.1247165301856707E+005     9.9998611526699244E-001     5.6153880770583946E+000     2.1991167682564170E+012     3.7200905602425333E-001     1.0905222740000001E+008     1.7467495362999997E+008     1.6006549729406829E+000     1.5954538676142689E+000     3.5648727609294500E-001     4.6035152734265295E-004     9.9932148478925220E-001     1.0098927283287047E+000     1.2841559185233693E+000     8.5500478890566545E-001    -8.7351489068219068E-001     3.8990187301576908E-033     0.0000000000000000E+000     0.0000000000000000E+000    -9.8642686070465837E-007     1.4292321191211665E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0294335882350833E-004     1.4778314710986143E-001     1.4778314710986143E-001    -1.2314861654124580E-018     5.7702862009068043E-019     9.9999999998587508E-001     9.9999999998431255E-001    -1.0850011543508524E+001     7.1000000000000008E-001     2.8733433992169395E-005     2.6997126656600789E-001     3.4416106108120406E-003     1.0081585468366043E-003     9.3604466091399760E-003     2.0994599496976492E-003     4.0903242835137509E-003     3.8990187301576908E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.2465062689576018E-001    -1.7104928212518082E+000 
                          8     3.8413125697396886E+000    -6.0198291563767334E+000     5.6302319125280489E+000    -1.7735360042534265E-001     8.1145540081388601E-001    -9.0735344861410522E-002     2.2412565627194632E-008     1.7783877207754916E+001                           0     8.4509516182544699E+005     2.6546580145125928E-014     4.8444939175521685E-019    -1.8985866994857783E+001     1.2878924934566021E+000    -1.1505149978319904E+001     9.9999999999999900E-001     9.9999999998275013E-001     6.6473171452839008E-001     6.9392505698273908E+003     8.3030813265840098E-001    -8.0760708251180938E-002     4.2680737238353136E+005     9.9998629906846914E-001     5.6302259622483266E+000     2.2029293409264404E+012     3.7113232478499408E-001     1.0948241732999998E+008     1.7514521517999998E+008     1.5986381097137929E+000     1.5933025984466074E+000     3.5807116110493142E-001     4.8324812678828823E-004     9.9931011721491814E-001     1.0101798211038111E+000     1.2841559185233695E+000     8.5500478890566534E-001    -8.6605995894634991E-001     4.0136249837423273E-033     0.0000000000000000E+000     0.0000000000000000E+000    -1.0038595265556966E-006     1.4367307806502735E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0348270081874024E-004     1.5249942394160385E-001     1.5249942394160385E-001    -1.2679858777263018E-018     5.6903835750840251E-019     9.9999999998275013E-001     9.9999999998118760E-001    -1.0763210900590707E+001     7.0999999999999996E-001     2.8733433992169358E-005     2.6997126656600795E-001     3.4416106108120354E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003     4.0136249837423273E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.1907126646301980E-001    -1.7024542958561106E+000 
                          9     3.8435662374721353E+000    -6.0077475082234200E+000     5.6445812998219607E+000    -1.7735587136714359E-001     8.1145540064279054E-001    -9.0735344952981564E-002     2.2412493277300906E-008     1.7768599651866531E+001                           0     8.4675556058145419E+005     2.6494130135030265E-014     4.8445036110861230E-019    -1.8909663097858427E+001     1.2878477871417995E+000    -1.1505149978319904E+001     1.0000000000000011E+000     9.9999999997962519E-001     6.6472823863092179E-001     6.9753537506219300E+003     8.6176928325925117E-001    -6.4608989881849960E-002     4.4114493761784607E+005     9.9998646633632549E-001     5.6445754221867341E+000     2.2067635654947549E+012     3.7022949185222376E-001     1.0992760320999998E+008     1.7563200884999996E+008     1.5965675812959668E+000     1.5910922771692273E+000     3.5953642258971252E-001     5.0737163768942465E-004     9.9929814152419538E-001     1.0104774318635461E+000     1.2841559185233693E+000     8.5500478890566545E-001    -8.5889863969066704E-001     4.1270122928788561E-033     0.0000000000000000E+000     0.0000000000000000E+000    -1.0174604437974533E-006     1.4442457173797281E+007    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.0402337787679121E-004     1.5708405865500769E-001     1.5708405865500769E-001    -1.2954885069639302E-018     5.6115778300527243E-019     9.9999999997962519E-001     9.9999999997806266E-001    -1.0690902382587986E+001     7.1000000000000008E-001     2.8733433992169348E-005     2.6997126656600795E-001     3.4416106108120350E-003     1.0081585468366045E-003     9.3604466091399777E-003     2.0994599496976496E-003     4.0903242835137518E-003     4.1270122928788561E-033     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.1359684966360121E-001    -1.6948799831676915E+000 
