                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6794      8.0000000000000004E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48                               49                               50                               51                               52                               53                               54                               55                               56 
                    model_number                         star_age                        star_mass                     log_abs_mdot                           log_dt                        num_zones                   mass_conv_core                          cz_mass                          cz_logT                        cz_logRho                          cz_logP                      cz_top_mass                      cz_top_logT                    cz_top_logRho                      cz_top_logP                    cz_top_radius                     he_core_mass                   he_core_radius                      he_core_lgT                    he_core_lgRho                        he_core_L                     kh_timescale                           log_LH                          log_LHe                          extra_L                eps_grav_integral                    log_abs_Lgrav                         log_Teff                       luminosity                            log_L                            log_R                           radius                        radius_cm                            log_g                          gravity                     log_center_T                   log_center_Rho                     log_center_P                center_degeneracy                     center_gamma                        center_mu                        center_ye                  center_eps_grav                   center_entropy                        center_h1                       center_he4                       center_c12                       center_o16                    total_mass_h1                   total_mass_he4                               pp                              cno                        e_thermal                      num_retries                      num_backups                  runtime_minutes 
                               9          3.1194434208778501E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.3199867469247657E+000                              692          0.0000000000000000E+000          3.3555066884843332E-002          6.6584771954485698E+000          2.9704110689095492E-001          1.5083749089118561E+001          9.9999999748275015E-001          3.9268831782137221E+000         -6.0542146701654991E+000          5.6837425118785649E+000          1.5766540108982277E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.6923974957934078E+006         -4.2927401013575341E+000         -7.7867714090160490E+001          0.0000000000000000E+000          3.1710631626745616E+000          5.0120489258774115E-001          3.7879461646161641E+000          3.1711162145930700E+000          5.0121215827800081E-001          1.9797258635929985E-001          1.5775116904843567E+000          1.0979165863433026E+011          4.0419441806945251E+000          1.1013977392233241E+004          6.6839538743017028E+000          3.4905926783256075E-001          1.5161381292490038E+001         -3.8350737567345332E+000          6.8279581518618973E-002          6.1533520805616693E-001          8.5500478576676930E-001          5.1215254695797610E+000          1.8881253616364297E+001          7.0999999058331154E-001          2.6997126656600778E-001          3.4416106108118589E-003          9.3604466091399725E-003          7.0999999915056433E-001          2.6997126656600751E-001         -4.2927401036970130E+000         -1.2561405295545363E+001          1.7809006755335347E+048                                2                                1          3.8316666666666666E-002 
                              10          3.1445142093678829E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.3991679929723899E+000                              695          0.0000000000000000E+000          2.8891394504083179E-002          6.6654069530710069E+000          3.1340060058835811E-001          1.5107071629544960E+001          9.9999999763900027E-001          3.9244996757325903E+000         -6.0540898970584891E+000          5.6813488496127960E+000          1.5624200126191210E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          4.8338413752315789E+006         -4.2561252530161457E+000         -7.7504830058220421E+001          0.0000000000000000E+000          3.1063680615506146E+000          4.9225291231663049E-001          3.7876817026701093E+000          3.1064269270549638E+000          4.9226114209526023E-001          1.9402600216003771E-001          1.5632412345092450E+000          1.0879846343937444E+011          4.0498373490930497E+000          1.1215983173744844E+004          6.6888686588036919E+000          3.5925658557945978E-001          1.5176520520371131E+001         -3.8284989638198756E+000          6.8041702576288721E-002          6.1533986510703598E-001          8.5500478561520932E-001          5.3256424207993440E+000          1.8871152108535135E+001          7.0999999012863113E-001          2.6997126656600789E-001          3.4416106108118229E-003          9.3604466091399743E-003          7.0999999911106215E-001          2.6997126656600751E-001         -4.2561252558959719E+000         -1.2434543283329379E+001          1.7967360482267362E+048                                2                                1          4.0016666666666666E-002 
                              11          3.1745991555559225E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.4783492390200150E+000                              695          0.0000000000000000E+000          2.0174876574083456E-002          6.6775396554401505E+000          3.3847517208423616E-001          1.5144341569371802E+001          9.9999999771712511E-001          3.9218838784467649E+000         -6.0524809892287283E+000          5.6801981906482828E+000          1.5461601504146452E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.0188571530012442E+006         -4.2141302226599633E+000         -7.7102274809792988E+001          0.0000000000000000E+000          3.0233349071314772E+000          4.8048625841265052E-001          3.7870135873814501E+000          3.0233982792766496E+000          4.8049536156706707E-001          1.8947934247325982E-001          1.5469609198985559E+000          1.0766538610309969E+011          4.0589306684666058E+000          1.1453300843450837E+004          6.6945096468449448E+000          3.7124529663655220E-001          1.5194180458127965E+001         -3.8202120403797002E+000          6.7784503819483921E-002          6.1534424245998920E-001          8.5500478541318792E-001          5.6241579695823036E+000          1.8858020484926843E+001          7.0999998952256771E-001          2.6997126656600789E-001          3.4416106108117600E-003          9.3604466091399725E-003          7.0999999905884670E-001          2.6997126656600751E-001         -4.2141302262777316E+000         -1.2293473744734174E+001          1.8152120858385902E+048                                2                                1          4.1883333333333335E-002 
                              12          3.2107010909815696E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.5575304850676401E+000                              695          0.0000000000000000E+000          1.2433354803892738E-002          6.6889209944049215E+000          3.6345578966101338E-001          1.5180761112723227E+001          9.9999999771712511E-001          3.9247937905435282E+000         -6.0380235665356210E+000          5.6976822882579468E+000          1.5276269240451097E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.2216204229335319E+006         -4.1659727411497158E+000         -7.6661777982689259E+001          0.0000000000000000E+000          2.9411676759966534E+000          4.6851978434532116E-001          3.7866399324688049E+000          2.9412380753965781E+000          4.6853017943610892E-001          1.8424406123307105E-001          1.5284247484770588E+000          1.0637530564450633E+011          4.0694012309469825E+000          1.1732788202096031E+004          6.7008756203553066E+000          3.8535716486734489E-001          1.5214691232293029E+001         -3.8095665156683531E+000          6.7525592593464231E-002          6.1534372607372623E-001          8.5500478513999190E-001          6.1696602814852008E+000          1.8840422986568857E+001          7.0999998870298020E-001          2.6997126656600801E-001          3.4416106108116468E-003          9.3604466091399725E-003          7.0999999898883948E-001          2.6997126656600751E-001         -4.1659727458044422E+000         -1.2135862964588886E+001          1.8367568837056684E+048                                2                                1          4.3716666666666668E-002 
                              13          3.2540234134923466E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.6367117311152644E+000                              695          0.0000000000000000E+000          1.2433354803892738E-002          6.6948111115788418E+000          3.8120640713243387E-001          1.5204420584680717E+001          9.9999999779525017E-001          3.9245347045222752E+000         -6.0290978612358197E+000          5.7063109873572477E+000          1.5067306967097913E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.4765158535554064E+006         -4.1111375925954832E+000         -7.6184222999075914E+001          0.0000000000000000E+000          2.8431749420332282E+000          4.5380358287799172E-001          3.7859536258254347E+000          2.8432545096365631E+000          4.5381573664561076E-001          1.7825945312456173E-001          1.5075074015879253E+000          1.0491950013571643E+011          4.0813704471640015E+000          1.2060642578080107E+004          6.7077954171824681E+000          4.0199627159604112E-001          1.5238284030194345E+001         -3.7953128695572560E+000          6.7312384674457451E-002          6.1533453899237067E-001          8.5500478476574426E-001          7.1946499093554506E+000          1.8816179141988428E+001          7.0999998758023608E-001          2.6997126656600823E-001          3.4416106108114339E-003          9.3604466091399743E-003          7.0999999889352561E-001          2.6997126656600751E-001         -4.1111375987494325E+000         -1.1959767943843904E+001          1.8617197017654730E+048                                2                                1          4.5633333333333331E-002 
                              14          3.3060102005052785E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.7158929771628895E+000                              695          0.0000000000000000E+000          3.3159427851205958E-003          6.7093633800698962E+000          4.1332105669630220E-001          1.5251164044781278E+001          9.9999999779525017E-001          3.9281154975428128E+000         -6.0099881300027116E+000          5.7291423938570132E+000          1.4833145981855067E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          5.7814644453450860E+006         -4.0490676004743946E+000         -7.5664291672709211E+001          0.0000000000000000E+000          2.7356958678474146E+000          4.3706781444526027E-001          3.7851703113111190E+000          2.7357871834698861E+000          4.3708231065061542E-001          1.7145936915569618E-001          1.4840870283584557E+000          1.0328948899969180E+011          4.0949706151017322E+000          1.2444304092322625E+004          6.7149311493286161E+000          4.2175649621369027E-001          1.5265205142136258E+001         -3.7752745607121132E+000          6.7227349076940585E-002          6.1532238059737210E-001          8.5500478424809101E-001          8.8567574602536308E+000          1.8781839183050792E+001          7.0999998602727621E-001          2.6997126656600845E-001          3.4416106108110232E-003          9.3604466091399725E-003          7.0999999876157649E-001          2.6997126656600751E-001         -4.0490676088696738E+000         -1.1762816754673683E+001          1.8905109554594244E+048                                2                                1          4.7550000000000002E-002 
                              15          3.3683943449207973E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.7950742232105146E+000                              695          9.9999999795775329E-001          7.8088119526142932E-008          6.7224984108402888E+000          4.4451680854208181E-001          1.5295554895821910E+001          9.9999999795150007E-001          3.9266128528392468E+000         -6.0006361357382199E+000          5.7368819118332777E+000          1.4574050113403278E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.1582628144069118E+006         -3.9794094493190553E+000         -7.5084959770700138E+001          0.0000000000000000E+000          2.6139971972129499E+000          4.1730511758438682E-001          3.7840608743526665E+000          2.6141037574363821E+000          4.1732282134238036E-001          1.6379849841848290E-001          1.4581375646000989E+000          1.0148345822103769E+011          4.1102923565761591E+000          1.2891170621977430E+004          6.7224984108402879E+000          4.4451680854208142E-001          1.5295554895821910E+001         -3.7505873515080079E+000          6.7230368568440238E-002          6.1531800314657348E-001          8.5500478843089356E-001          9.4773193162110196E+000          1.8740022521788720E+001          7.0999999857568385E-001          2.6997126656600762E-001          3.4416106108119673E-003          9.3604466091399656E-003          7.0999999857569041E-001          2.6997126656600751E-001         -3.9794094612005106E+000         -1.1542324123418998E+001          1.9234817518807268E+048                                2                                1          4.9466666666666666E-002 
                              16          3.4432553182194196E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.8742554692581388E+000                              698          9.9999999802750961E-001          7.8088119526142932E-008          6.7308764393809177E+000          4.7010455020073216E-001          1.5329545681596018E+001          9.9999999795150041E-001          3.9311221736813224E+000         -5.9763496887716778E+000          5.7658575548878028E+000          1.4288955974645148E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          6.6007605668840669E+006         -3.9017579529728663E+000         -7.4440766728000426E+001          0.0000000000000000E+000          2.4873786553891279E+000          3.9574190325481462E-001          3.7829596981644178E+000          2.4875056708119474E+000          3.9576407948792564E-001          1.5522147986775336E-001          1.4296228463240563E+000          9.9498890858461670E+010          4.1274463936776185E+000          1.3410543946625552E+004          6.7308764393809168E+000          4.7010455020073122E-001          1.5329545681596018E+001         -3.7220587510133161E+000          6.7253781858600176E-002          6.1532892023519470E-001          8.5500478834198257E-001          9.1908108885989055E+000          1.8692398060397206E+001          7.0999999830895055E-001          2.6997126656600767E-001          3.4416106108119422E-003          9.3604466091399656E-003          7.0999999830895588E-001          2.6997126656600751E-001         -3.9017579704573886E+000         -1.1296888500655882E+001          1.9610755818378904E+048                                2                                1          5.1416666666666666E-002 
                              17          3.5330884861777662E+006          1.0000000000000000E+000         -9.8999999999999986E+001          4.9534367153057639E+000                              698          0.0000000000000000E+000          3.3159427851208174E-003          6.7345824976818669E+000          4.9016473272212857E-001          1.5353304539027427E+001          9.9999999795150041E-001          3.9362653776989518E+000         -5.9492680489848615E+000          5.7983089501634781E+000          1.3978800605067896E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          7.1291756905227527E+006         -3.8159302622286853E+000         -7.3739806303284311E+001          0.0000000000000000E+000          2.3540617999796649E+000          3.7181785996784350E-001          3.7817440537913560E+000          2.3542161160037058E+000          3.7184632837983200E-001          1.4569389305983077E-001          1.3986011888275760E+000          9.7339845540021637E+010          4.1465015672934635E+000          1.4012046416354178E+004          6.7398600358523488E+000          4.9891428098862606E-001          1.5367367845450039E+001         -3.6869203106124351E+000          6.7349807580389956E-002          6.1534375607083913E-001          8.5500478685114778E-001          9.2150678631789340E+000          1.8633973029349036E+001          7.0999999383644818E-001          2.6997126656600984E-001          3.4416106108082862E-003          9.3604466091399656E-003          7.0999999792373547E-001          2.6997126656600756E-001         -3.8159302889333118E+000         -1.1027128075988296E+001          2.0037002601687587E+048                                2                                1          5.3283333333333335E-002 
                              18          3.6408882877277825E+006          1.0000000000000000E+000         -9.8999999999999986E+001          5.0326179613533890E+000                              700          0.0000000000000000E+000          1.2433354803892958E-002          6.7370275031918068E+000          5.0963987247034503E-001          1.5375209026265928E+001          9.9999999810775053E-001          3.9339715569022591E+000         -5.9372346654944828E+000          5.8078738890652826E+000          1.3645453241190038E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          7.7639372735671038E+006         -3.7219828695575745E+000         -7.2992570269363981E+001          0.0000000000000000E+000          2.2143982733444836E+000          3.4525573413989746E-001          3.7803505495502647E+000          2.2145892584629530E+000          3.4529318910337731E-001          1.3520433190378509E-001          1.3652253125436431E+000          9.5016951302412476E+010          4.1674806896055552E+000          1.4705530275363626E+004          6.7494128068749220E+000          5.3114093944464358E-001          1.5409171160423773E+001         -3.6457189149066824E+000          6.7534518772401464E-002          6.1533781358821082E-001          8.5500478466576246E-001          9.1679452778421400E+000          1.8564386801142856E+001          7.0999998728029490E-001          2.6997126656601450E-001          3.4416106108000623E-003          9.3604466091399656E-003          7.0999999734267860E-001          2.6997126656600762E-001         -3.7219829116463883E+000         -1.0735600518372166E+001          2.0517298652977128E+048                                2                                1          5.5216666666666671E-002 
